"Daily Weather Observations for Melbourne (Olympic Park), Victoria for September 2023"
"Prepared at 13:01 UTC on Sunday 11 August 2024   IDCJDW3033.202309"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-09-1,9.8,14.8,1.8,,,S,28,14:18,11.6,90,,WSW,7,1025.3,14.4,56,,SSW,17,1023.9
,2023-09-2,3.9,15.8,0,,,SW,22,14:17,8.4,76,,NE,6,1024.4,14.4,62,,SW,13,1020.0
,2023-09-3,6.0,20.4,0,,,N,35,14:23,10.8,79,,NNE,9,1020.1,20.2,41,,N,17,1014.0
,2023-09-4,9.7,21.6,0,,,N,69,11:21,18.8,39,,N,13,1005.4,20.7,41,,N,19,1002.1
,2023-09-5,6.7,15.1,2.8,,,NW,48,10:52,10.5,72,,NNW,15,1011.7,14.3,46,,WSW,9,1014.3
,2023-09-6,6.1,19.4,0.2,,,NNW,54,11:08,11.8,52,,N,20,1018.5,18.9,41,,N,26,1014.2
,2023-09-7,10.7,22.1,0,,,N,63,16:20,17.1,45,,N,20,1009.6,21.1,33,,N,22,1001.8
,2023-09-8,8.4,11.7,4.0,,,NNW,70,10:21,11.2,60,,NNW,19,1005.0,11.5,62,,WNW,17,1013.3
,2023-09-9,6.8,13.9,0.8,,,SSW,35,10:58,10.0,61,,W,13,1027.9,10.6,75,,S,15,1027.2
,2023-09-10,10.0,14.9,1.0,,,SW,24,09:45,12.0,71,,WNW,7,1031.8,14.1,62,,S,11,1031.3
,2023-09-11,8.3,17.2,0,,,SSW,19,11:53,12.9,74,,W,2,1033.9,16.2,54,,SSW,9,1031.5
,2023-09-12,10.2,23.3,0,,,NW,28,11:29,15.9,57,,NE,9,1029.9,22.3,33,,S,9,1026.2
,2023-09-13,9.2,25.1,0,,,NW,20,11:58,15.3,64,,NNE,6,1028.3,24.7,33,, ,Calm,1025.2
,2023-09-14,10.5,23.9,0,,,N,44,13:58,18.4,63,,N,17,1026.5,23.3,37,,N,20,1022.3
,2023-09-15,15.1,22.4,0,,,N,41,00:08,18.5,48,,WNW,4,1020.9,20.7,43,,SSW,13,1018.3
,2023-09-16,9.6,25.0,0,,,NNW,48,14:43,17.8,51,,N,17,1019.8,24.3,32,,NNW,24,1015.2
,2023-09-17,12.6,23.1,0,,,NNW,30,10:26,18.4,54,,NW,9,1021.4,22.2,43,,S,11,1018.0
,2023-09-18,13.7,21.9,0,,,SSW,26,13:14,15.1,76,,W,4,1015.6,15.8,78,,SSW,11,1014.6
,2023-09-19,13.7,28.0,0,,,N,43,16:41,18.6,57,,SSW,15,1007.8,26.3,33,,NNW,19,1003.6
,2023-09-20,13.2,19.0,0,,,W,43,13:40,14.8,66,,WNW,13,1007.8,16.4,33,,WNW,9,1008.2
,2023-09-21,9.2,14.9,0.2,,,SSW,30,09:34,12.7,64,,WSW,11,1020.7,14.3,57,,SSW,15,1023.9
,2023-09-22,6.8,14.9,0,,,SSW,30,14:22,12.4,63,,NNE,6,1031.5,14.3,51,,SSW,13,1029.4
,2023-09-23,5.2,16.4,0,,,SW,22,11:51,10.8,64,,E,7,1030.3,14.7,64,,SSW,13,1026.7
,2023-09-24,7.2,23.8,0,,,NNE,39,13:29,13.4,76,,NE,9,1025.4,23.2,34,,N,20,1020.0
,2023-09-25,13.4,23.4,0,,,SSW,41,11:32,20.0,43,,NW,7,1020.2,17.2,65,,SSW,17,1020.9
,2023-09-26,9.5,16.4,0,,,SW,30,13:55,14.2,52,,S,6,1022.2,15.4,58,,SSW,13,1019.4
,2023-09-27,10.2,17.3,0,,,S,35,14:59,12.7,73,,WNW,4,1023.6,15.6,66,,SSW,17,1024.8
,2023-09-28,10.2,20.1,0,,,SSW,24,14:12,14.8,62,,W,6,1029.9,18.4,51,,SSW,13,1026.9
,2023-09-29,8.0,27.8,0,,,NNW,28,11:12,16.4,50,,NE,9,1025.2,26.9,17,,SSW,7,1020.6
,2023-09-30,15.4,29.7,0,,,N,48,12:58,21.8,29,,N,19,1018.4,28.8,19,,NNW,20,1012.1
